dim	beta	bin 	plaq	error
2	1.6	2	0.387605	0
2	1.6	4	0.387606	0
2	1.6	8	0.387607	0
2	1.6	16	0.387611	0
2	1.6	32	0.387604	0
2	2.0	02	5.007581e-01	1.076576e-08
2	2.0	04	5.007463e-01	1.491341e-08
2	2.0	08	5.007541e-01	2.370088e-08
2	2.0	16	5.007432e-01	2.801136e-08
2	2.0	32	5.007629e-01	2.952006e-08
2	3.2	2	0.74321	0
2	3.2	4	0.743202	0
2	3.2	8	0.743201	0
2	3.2	16	0.743221	0
2	3.2	32	0.743208	0
2	4.2	02	8.100689e-01	1.380293e-09
2	4.2	04	8.100678e-01	1.503890e-09
2	4.2	08	8.100755e-01	1.451444e-09
2	4.2	16	8.100734e-01	2.477934e-09
2	4.2	32	8.100661e-01	2.106334e-09
2	5.5	2	0.857511	0
2	5.5	4	0.857509	0
2	5.5	8	0.857515	0
2	5.5	16	0.857515	0
2	5.5	32	0.857509	0
3	2.0	2	0.128791	0
3	2.0	4	0.128791	0
3	2.0	8	0.128792	0
3	2.0	16	0.128793	0
3	2.0	32	0.128792	0
3	2.3	2	0.150916	0
3	2.3	4	0.150917	0
3	2.3	8	0.150917	0
3	2.3	16	0.150917	0
3	2.3	32	0.150916	0
3	5.5	2	0.496602	0
3	5.5	4	0.496608	0
3	5.5	8	0.496606	0
3	5.5	16	0.496594	0
3	5.5	32	0.496619	0

